sortTime,departureTime_timeAMPM,departureTime_time24,arrivalTime_timeAMPM,arrivalTime_time24,carrier_fs,carrier_name,carrier_flightNumber,operatedBy,url,airport_fs,airport_city,isCodeshare
2024-03-28T08:00:00.000Z,2:10PM,14:10,3:00PM,15:00,QZ,Indonesia AirAsia,181,,/flight-tracker/QZ/181?year=2024&amp;month=3&amp;date=28&amp;flightId=1243054948,TKG,Bandar Lampung,
2024-03-28T08:05:00.000Z,12:50PM,12:50,3:15PM,15:15,GA,Garuda Indonesia,187,,/flight-tracker/GA/187?year=2024&amp;month=3&amp;date=28&amp;flightId=1243026389,KNO,Kuala Namu,
2024-03-28T08:05:00.000Z,12:50PM,12:50,3:15PM,15:15,EY,Etihad Airways,8137,Operated by Garuda Indonesia 187,/flight-tracker/EY/8137?year=2024&amp;month=3&amp;date=28&amp;flightId=1243026389,KNO,Kuala Namu,TRUE
2024-03-28T08:05:00.000Z,1:15PM,13:15,3:05PM,15:05,SJV,Super Air Jet,903,,/flight-tracker/SJV/903?year=2024&amp;month=3&amp;date=28&amp;flightId=1243032023,PDG,Padang,
2024-03-28T08:05:00.000Z,2:00PM,14:00,3:05PM,15:05,SJ,Sriwijaya Air,55,,/flight-tracker/SJ/55?year=2024&amp;month=3&amp;date=28&amp;flightId=1243056889,TJQ,Tanjung Pandan,
2024-03-28T08:10:00.000Z,2:15PM,14:15,3:10PM,15:10,SJV,Super Air Jet,753,,/flight-tracker/SJV/753?year=2024&amp;month=3&amp;date=28&amp;flightId=1243031943,DPS,Denpasar,
2024-03-28T08:10:00.000Z,1:30PM,13:30,3:10PM,15:10,CTV,Citilink,937,,/flight-tracker/CTV/937?year=2024&amp;month=3&amp;date=28&amp;flightId=1243053720,PKU,Pekanbaru,
2024-03-28T08:10:00.000Z,1:35PM,13:35,3:10PM,15:10,GA,Garuda Indonesia,317,,/flight-tracker/GA/317?year=2024&amp;month=3&amp;date=28&amp;flightId=1243026423,SUB,Surabaya,
2024-03-28T08:10:00.000Z,1:35PM,13:35,3:10PM,15:10,EY,Etihad Airways,8147,Operated by Garuda Indonesia 317,/flight-tracker/EY/8147?year=2024&amp;month=3&amp;date=28&amp;flightId=1243026423,SUB,Surabaya,TRUE
2024-03-28T08:10:00.000Z,1:35PM,13:35,3:10PM,15:10,MH,Malaysia Airlines,4017,Operated by Garuda Indonesia 317,/flight-tracker/MH/4017?year=2024&amp;month=3&amp;date=28&amp;flightId=1243026423,SUB,Surabaya,TRUE
2024-03-28T08:10:00.000Z,1:35PM,13:35,3:10PM,15:10,VN,Vietnam Airlines,3871,Operated by Garuda Indonesia 317,/flight-tracker/VN/3871?year=2024&amp;month=3&amp;date=28&amp;flightId=1243026423,SUB,Surabaya,TRUE
2024-03-28T08:15:00.000Z,1:35PM,13:35,3:15PM,15:15,CTV,Citilink,251,,/flight-tracker/CTV/251?year=2024&amp;month=3&amp;date=28&amp;flightId=1243053516,UPG,Ujung Pandang,
2024-03-28T08:15:00.000Z,1:30PM,13:30,3:15PM,15:15,ID*,Batik Air,6591,,/flight-tracker/ID*/6591?year=2024&amp;month=3&amp;date=28&amp;flightId=1243031288,BWX,Banyuwangi,
2024-03-28T08:15:00.000Z,2:00PM,14:00,3:15PM,15:15,ID*,Batik Air,7367,,/flight-tracker/ID*/7367?year=2024&amp;month=3&amp;date=28&amp;flightId=1243031370,SOC,Surakarta,
